1090 9435078 5797001 1280 713 5535087 5462514 679 676
1095 9435956 5797524 878 523 5535562 5462985 475 471
1100 9436692 5797979 736 455 5535959 5463378 397 393
1105 9437963 5798621 1271 642 5536569 5463972 610 594
1110 9439148 5799227 1185 606 5537122 5464525 553 553
1115 9440765 5800132 1617 905 5537994 5465390 872 865
1120 9441703 5800654 938 522 5538476 5465870 482 480
1125 9443232 5801858 1529 1204 5539617 5467011 1141 1141
1130 9444641 5802652 1409 794 5540369 5467752 752 741
1135 9446530 5803926 1889 1274 5541607 5468988 1238 1236
1140 9447512 5804462 982 536 5542096 5469476 489 488
1145 9448101 5804891 589 429 5542461 5469839 365 363
1150 9449828 5805716 1727 825 5543234 5470605 773 766
1155 9452549 5806969 2721 1253 5544462 5471816 1228 1211
1160 9455292 5808128 2743 1159 5545586 5472931 1124 1115
1165 9469633 5819211 14341 11083 5557254 5484463 11668 11532
1170 9506132 5845695 36499 26484 5586250 5513192 28996 28729
1175 9528310 5861542 22178 15847 5602719 5529550 16469 16358
1180 9530531 5862537 2221 995 5603691 5530519 972 969
1185 9532745 5863525 2214 988 5604643 5531466 952 947
1190 9534937 5864558 2192 1033 5605636 5532448 993 982
1195 9535826 5865117 889 559 5606148 5532957 512 509
1200 9538022 5866225 2196 1108 5607220 5534009 1072 1052
1205 9539922 5867164 1900 939 5608162 5534945 942 936
1210 9542644 5868443 2722 1279 5609531 5536298 1369 1353
1215 9544150 5869711 1506 1268 5610747 5537515 1216 1217
1220 9545126 5870392 976 681 5611379 5538133 632 618
1225 9548306 5871622 3180 1230 5612594 5539318 1215 1185
1230 9553118 5875955 4812 4333 5616959 5543613 4365 4295
1235 9554976 5876776 1858 821 5617746 5544389 787 776
1240 9556712 5877628 1736 852 5618559 5545192 813 803
1245 9558523 5878542 1811 914 5619428 5546047 869 855
1250 9561117 5880130 2594 1588 5620979 5547591 1551 1544
1255 9562522 5880768 1405 638 5621585 5548194 606 603
1260 9564137 5881656 1615 888 5622417 5549022 832 828
1265 9566346 5882720 2209 1064 5623442 5550036 1025 1014
1270 9567950 5883601 1604 881 5624336 5550877 894 841
1275 9570613 5885357 2663 1756 5626066 5552601 1730 1724
1280 9571654 5885982 1041 625 5626642 5553173 576 572
1285 9572347 5886413 693 431 5627023 5553553 381 380
1290 9574000 5887263 1653 850 5627847 5554360 824 807
1295 9575151 5887967 1151 704 5628544 5555008 697 648
1300 9577293 5888961 2142 994 5629504 5555965 960 957
1305 9579152 5890084 1859 1123 5630580 5557033 1076 1068
1310 9580917 5890992 1765 908 5631435 5557883 855 850
1315 9582081 5891620 1164 628 5632022 5558460 587 577
1320 9584413 5892917 2332 1297 5633293 5559715 1271 1255
1325 9586302 5894017 1889 1100 5634369 5560777 1076 1062
1330 9588132 5895352 1830 1335 5635639 5562045 1270 1268
1335 9590533 5896444 2401 1092 5636685 5563074 1046 1029
1340 9593133 5898179 2600 1735 5638385 5564754 1700 1680
1345 9595560 5899277 2427 1098 5639460 5565824 1075 1070
1350 9596973 5900206 1413 929 5640355 5566718 895 894
1355 9597910 5900767 937 561 5640862 5567227 507 509
1360 9598835 5901257 925 490 5641295 5567660 433 433
1365 9600824 5901991 1989 734 5641985 5568331 690 671
1370 9601585 5902557 761 566 5642499 5568843 514 512
1375 9602277 5902982 692 425 5642868 5569212 369 369
1380 9602923 5903409 646 427 5643242 5569584 374 372
1385 9603814 5904027 891 618 5643803 5570141 561 557
1390 9605101 5905007 1287 980 5644773 5571090 970 949
1395 9606571 5906112 1470 1105 5645871 5572184 1098 1094
1400 9607576 5906778 1005 666 5646525 5572827 654 643
1405 9609631 5907718 2055 940 5647482 5573770 957 943
1410 9613026 5910617 3395 2899 5650406 5576648 2924 2878
1415 9614129 5911376 1103 759 5651141 5577385 735 737
1420 9615366 5912320 1237 944 5652118 5578327 977 942
1425 9616868 5913514 1502 1194 5653319 5579483 1201 1156
1430 9617890 5914183 1022 669 5653979 5580122 660 639
1435 9618898 5914825 1008 642 5654607 5580738 628 616
